species,dom_fr,max_fr,min_fr,min_fr_TM
BTF,3375,6375,2387.719,1500
BTF,3375,5437.5,1328.703,1500
BTF,3375,5250,2525.851,1125
BTF,3562.5,6375,1012.972,1312.5
BTF,5250,5812.5,1124.793,2250
BTF,3562.5,4500,2637.673,2812.5
BTF,3000,5062.5,1427.369,2625
BTF,3750,8812.5,3045.492,1125
BTF,1687.5,8625,1308.97,937.5
BTF,3375,6937.5,2433.763,937.5
BTF,750,6937.5,1479.991,750
BTF,3187.5,3375,2703.45,2812.5
BTF,3000,4875,2111.454,1312.5
BTF,2250,5062.5,2058.832,750
BTF,2625,6187.5,2229.853,937.5
BTF,3562.5,6187.5,2420.607,1125
BTF,3562.5,6187.5,1315.547,1500
BTF,3750,6375,1348.436,1312.5
BTF,3187.5,6187.5,2256.164,1125
BTF,3000,6375,2236.431,937.5
BTF,3937.5,4125,1749.678,1875
BTF,3750,3937.5,1644.434,1875
BTF,3562.5,3750,1572.079,1687.5
BTF,3750,3937.5,1512.88,1687.5
BTF,3187.5,4875,2723.183,2812.5
BTF,3750,3937.5,1644.434,1875
BTF,3187.5,4500,2617.94,2625
BTF,3750,3937.5,1578.657,1875
BTF,3000,4500,2545.584,2625
BTF,3375,5437.5,1256.348,2250
BTF,2812.5,6375,2058.832,1687.5
BTF,1500,6937.5,3196.78,1500
BTF,2812.5,5437.5,1920.699,2062.5
BTF,2625,5250,2111.454,2250
BTF,2812.5,4875,2262.742,2437.5
BTF,2812.5,4875,2137.765,2437.5
